Subject,Age,Sex,Language,Major,Session,Cycle,Trial,BaseRate,Stimulus,Response,Matrix,RT,OldKey
15,20,female,fluent,psychology,1,2,29,40,old,old,hit,934,left
15,20,female,fluent,psychology,1,2,30,40,old,old,hit,985,right
15,20,female,fluent,psychology,1,2,31,40,new,new,cr,2426,left
15,20,female,fluent,psychology,1,2,32,40,new,new,cr,2815,left
15,20,female,fluent,psychology,1,2,33,40,new,new,cr,1220,right
15,20,female,fluent,psychology,1,2,34,40,new,new,cr,1291,left
15,20,female,fluent,psychology,1,2,35,40,new,new,cr,1200,left
15,20,female,fluent,psychology,1,2,36,40,old,new,miss,3096,right
15,20,female,fluent,psychology,1,2,37,40,new,new,cr,1953,right
15,20,female,fluent,psychology,1,2,38,40,new,new,cr,1178,left
15,20,female,fluent,psychology,1,2,39,40,new,new,cr,2403,right
15,20,female,fluent,psychology,1,2,40,40,new,new,cr,1801,left
15,20,female,fluent,psychology,1,2,41,40,old,old,hit,2504,left
15,20,female,fluent,psychology,1,2,42,40,new,new,cr,1066,left
15,20,female,fluent,psychology,1,2,43,40,new,new,cr,1319,left
15,20,female,fluent,psychology,1,2,44,40,old,old,hit,1162,right
15,20,female,fluent,psychology,1,2,45,40,new,new,cr,1780,right
15,20,female,fluent,psychology,1,2,46,40,new,new,cr,1043,left
15,20,female,fluent,psychology,1,2,47,40,new,new,cr,2434,left
15,20,female,fluent,psychology,1,2,48,40,new,new,cr,1430,right
15,20,female,fluent,psychology,1,2,49,40,new,new,cr,1429,left
15,20,female,fluent,psychology,1,2,50,40,old,old,hit,1139,right
15,20,female,fluent,psychology,1,2,51,40,new,new,cr,1262,right
15,20,female,fluent,psychology,1,2,52,40,new,new,cr,1267,left
15,20,female,fluent,psychology,1,2,53,40,new,new,cr,1130,right
15,20,female,fluent,psychology,1,2,54,40,old,old,hit,963,left
15,20,female,fluent,psychology,1,2,55,40,old,new,miss,1396,right
15,20,female,fluent,psychology,1,2,56,40,old,old,hit,1124,right
15,20,female,fluent,psychology,1,2,57,40,new,old,fa,1183,right
15,20,female,fluent,psychology,1,2,58,40,old,old,hit,1304,left
15,20,female,fluent,psychology,1,2,59,40,new,new,cr,2060,right
15,20,female,fluent,psychology,1,2,60,40,old,old,hit,961,left
15,20,female,fluent,psychology,1,2,61,40,old,old,hit,1458,left
15,20,female,fluent,psychology,1,2,62,40,new,new,cr,1120,right
